config,accuracy,f1_fake,precision_fake,recall_fake,fold
ocr_only,0.5875,0.444444444,0.680412371,0.33,1
ocr_only,0.56,0.424836601,0.613207547,0.325,2
ocr_only,0.5675,0.429042904,0.631067961,0.325,3
ocr_only,0.5575,0.395904437,0.623655914,0.29,4
ocr_only,0.5925,0.454849498,0.686868687,0.34,5
ocr_only,0.575,0.425675676,0.65625,0.315,6
ocr_only,0.535,0.429447853,0.555555556,0.35,7
ocr_only,0.5725,0.416382253,0.655913978,0.305,8
ocr_only,0.55,0.4,0.6,0.3,9
ocr_only,0.5825,0.47318612,0.641025641,0.375,10
caption_only,0.745,0.742424242,0.75,0.735,1
caption_only,0.76,0.753846154,0.773684211,0.735,2
caption_only,0.7225,0.718987342,0.728205128,0.71,3
caption_only,0.7475,0.74168798,0.759162304,0.725,4
caption_only,0.75,0.747474747,0.755102041,0.74,5
caption_only,0.735,0.723958333,0.755434783,0.695,6
caption_only,0.72,0.714285714,0.729166667,0.7,7
caption_only,0.7675,0.7680798,0.766169154,0.77,8
caption_only,0.725,0.730392157,0.716346154,0.745,9
caption_only,0.7675,0.765743073,0.771573604,0.76,10
text_only,0.7925,0.794044665,0.78817734,0.8,1
text_only,0.77,0.772277228,0.764705882,0.78,2
text_only,0.745,0.747524752,0.740196078,0.755,3
text_only,0.7825,0.779746835,0.78974359,0.77,4
text_only,0.7525,0.742857143,0.772972973,0.715,5
text_only,0.77,0.762886598,0.787234043,0.74,6
text_only,0.745,0.745,0.745,0.745,7
text_only,0.79,0.787878788,0.795918367,0.78,8
text_only,0.735,0.738916256,0.72815534,0.75,9
text_only,0.7725,0.776412776,0.763285024,0.79,10
text_plus_cisf,0.7725,0.770780856,0.776649746,0.765,1
text_plus_cisf,0.775,0.788732394,0.743362832,0.84,2
text_plus_cisf,0.755,0.752525253,0.760204082,0.745,3
text_plus_cisf,0.79,0.78680203,0.798969072,0.775,4
text_plus_cisf,0.765,0.758974359,0.778947368,0.74,5
text_plus_cisf,0.79,0.791044776,0.787128713,0.795,6
text_plus_cisf,0.7625,0.761904762,0.763819095,0.76,7
text_plus_cisf,0.78,0.781094527,0.777227723,0.785,8
text_plus_cisf,0.795,0.792929293,0.801020408,0.785,9
text_plus_cisf,0.7625,0.765432099,0.756097561,0.775,10
clip_only,0.9625,0.962406015,0.964824121,0.96,1
clip_only,0.95,0.950738916,0.936893204,0.965,2
clip_only,0.945,0.944162437,0.958762887,0.93,3
clip_only,0.9525,0.952853598,0.945812808,0.96,4
clip_only,0.955,0.956097561,0.933333333,0.98,5
clip_only,0.97,0.97029703,0.960784314,0.98,6
clip_only,0.94,0.939393939,0.948979592,0.93,7
clip_only,0.96,0.96,0.96,0.96,8
clip_only,0.965,0.965174129,0.96039604,0.97,9
clip_only,0.9575,0.958230958,0.942028986,0.975,10
text_plus_clip,0.9625,0.962025316,0.974358974,0.95,1
text_plus_clip,0.9525,0.952853598,0.945812808,0.96,2
text_plus_clip,0.9525,0.951898734,0.964102564,0.94,3
text_plus_clip,0.96,0.96,0.96,0.96,4
text_plus_clip,0.9475,0.948905109,0.924170616,0.975,5
text_plus_clip,0.96,0.960199005,0.955445545,0.965,6
text_plus_clip,0.935,0.934673367,0.939393939,0.93,7
text_plus_clip,0.96,0.959798995,0.964646465,0.955,8
text_plus_clip,0.96,0.960199005,0.955445545,0.965,9
text_plus_clip,0.9525,0.953545232,0.933014354,0.975,10
full_text_cisf_clip,0.96,0.959798995,0.964646465,0.955,1
full_text_cisf_clip,0.9525,0.95308642,0.941463415,0.965,2
full_text_cisf_clip,0.9425,0.941772152,0.953846154,0.93,3
full_text_cisf_clip,0.965,0.964824121,0.96969697,0.96,4
full_text_cisf_clip,0.9575,0.958435208,0.937799043,0.98,5
full_text_cisf_clip,0.965,0.965174129,0.96039604,0.97,6
full_text_cisf_clip,0.935,0.934010152,0.948453608,0.92,7
full_text_cisf_clip,0.9625,0.962593516,0.960199005,0.965,8
full_text_cisf_clip,0.965,0.965174129,0.96039604,0.97,9
full_text_cisf_clip,0.96,0.96039604,0.950980392,0.97,10
clip_plus_cisf,0.96,0.9597989949748744,0.9646464646464646,0.955,1
clip_plus_cisf,0.9425,0.9429280397022332,0.9359605911330048,0.95,2
clip_plus_cisf,0.9425,0.9420654911838792,0.949238578680203,0.935,3
clip_plus_cisf,0.9575,0.9571788413098236,0.964467005076142,0.95,4
clip_plus_cisf,0.96,0.9611650485436892,0.9339622641509434,0.99,5
clip_plus_cisf,0.9675,0.967741935483871,0.9605911330049262,0.975,6
clip_plus_cisf,0.9425,0.9417721518987342,0.953846153846154,0.93,7
clip_plus_cisf,0.96,0.9597989949748744,0.9646464646464646,0.955,8
clip_plus_cisf,0.97,0.9704433497536946,0.9563106796116504,0.985,9
clip_plus_cisf,0.955,0.955665024630542,0.941747572815534,0.97,10
caption_plus_cisf_clip,0.95,0.9494949494949495,0.9591836734693877,0.94,1
caption_plus_cisf_clip,0.9575,0.9578163771712159,0.9507389162561576,0.965,2
caption_plus_cisf_clip,0.9475,0.947103274559194,0.9543147208121827,0.94,3
caption_plus_cisf_clip,0.96,0.9597989949748744,0.9646464646464646,0.955,4
caption_plus_cisf_clip,0.9475,0.9486552567237164,0.9282296650717703,0.97,5
caption_plus_cisf_clip,0.9575,0.9578163771712159,0.9507389162561576,0.965,6
caption_plus_cisf_clip,0.9325,0.9319899244332494,0.9390862944162437,0.925,7
caption_plus_cisf_clip,0.9625,0.9627791563275434,0.9556650246305419,0.97,8
caption_plus_cisf_clip,0.965,0.9651741293532339,0.9603960396039604,0.97,9
caption_plus_cisf_clip,0.96,0.9605911330049262,0.9466019417475728,0.975,10
