image_path,label,split,cisf_neighbour_mean_similarity,cisf_neighbour_max_similarity,cisf_fused_pca_00,cisf_fused_pca_01,cisf_fused_pca_02,cisf_fused_pca_03,cisf_fused_pca_04,cisf_fused_pca_05,cisf_fused_pca_06,cisf_fused_pca_07,cisf_fused_pca_08,cisf_fused_pca_09,cisf_fused_pca_10,cisf_fused_pca_11,cisf_fused_pca_12,cisf_fused_pca_13,cisf_fused_pca_14,cisf_fused_pca_15,cisf_fused_pca_16,cisf_fused_pca_17,cisf_fused_pca_18,cisf_fused_pca_19,cisf_fused_pca_20,cisf_fused_pca_21,cisf_fused_pca_22,cisf_fused_pca_23,cisf_fused_pca_24,cisf_fused_pca_25,cisf_fused_pca_26,cisf_fused_pca_27,cisf_fused_pca_28,cisf_fused_pca_29,cisf_fused_pca_30,cisf_fused_pca_31
E:\Project\Fake News Detection\images\real\1004.jpeg,real,test,0.615523994,0.648477912,-0.058908105,-0.014998637,-0.085823126,0.120126575,0.168971539,-0.251569301,-0.099535927,0.034282416,0.068293184,0.070817292,-0.067202464,-0.101275608,0.067297153,0.048075125,0.082718812,0.009291841,-0.087131411,0.056732804,0.109005719,-0.132877916,0.111268997,0.01681947,-0.149052531,-0.059748568,0.027428124,0.062480308,-0.099664018,0.05981262,-0.016159832,0.07044138,-0.022860818,-0.01608517
E:\Project\Fake News Detection\images\real\1005.jpg,real,train,0.61602217,0.717018902,-0.157413542,-0.016994299,-0.105016634,-0.091719814,0.095690221,-0.210545093,0.023525059,-0.212969899,-0.093736723,-0.047522105,0.03448052,-0.147646755,-0.190774664,-0.140369475,0.152590647,0.095544428,0.048366114,0.03054532,-0.064884588,-0.099628478,0.053961679,0.11111702,0.037743215,0.036351699,-0.080814019,0.086360037,0.025781844,0.088116094,-0.059356414,0.000129051,0.088671103,0.068287112
E:\Project\Fake News Detection\images\real\1011.jpg,real,train,0.63076365,0.646138191,0.076599829,-0.109241255,-0.298976153,0.010216458,-0.031958349,-0.047984928,-0.158409387,0.039559942,-0.091213085,0.030219842,-0.016344197,-0.008417703,0.148748681,-0.034110703,0.05954406,0.088588774,0.020497128,0.115522638,-0.114961192,0.033182915,0.076842107,0.063806489,-0.075643189,0.061406795,0.006523181,-0.084280834,-0.100520492,0.057198342,-0.07904651,0.093581021,0.074246816,0.085048735
E:\Project\Fake News Detection\images\real\1018.jpg,real,train,0.825086951,0.850928664,0.006554668,0.034232844,-0.491383582,-0.193519995,-0.175140038,-0.053007808,0.041602287,-0.109086625,0.123112895,0.031891413,0.052825805,-0.103430949,0.005054411,-0.002841019,-0.046459813,-0.107343152,0.036806054,-0.094018996,0.017074041,0.0455104,-0.023302535,0.057012428,-0.035551816,0.027523093,0.014284964,0.06052909,-0.009019446,0.010239241,0.065298006,-0.088834465,-0.019948199,-0.052698828
E:\Project\Fake News Detection\images\real\1021.jpg,real,test,0.606590271,0.653157771,-0.084069416,-0.02725178,-0.087560765,0.070684552,0.001551306,-0.211835176,0.050285541,-0.047625378,0.045166023,-0.041241512,-0.170317769,0.013012387,0.123247854,-0.032139111,-0.087763339,0.096617475,-0.175256416,-0.030734651,0.084553644,-0.174903497,0.066445589,0.048263788,-0.03026497,-0.108540811,-0.08174891,0.042387284,-0.088005185,-0.040759638,0.069500849,0.124275543,-0.055963315,-0.019834489
E:\Project\Fake News Detection\images\real\1023.jpg,real,train,0.629918933,0.679678619,0.077685826,-0.012849186,0.208666533,0.068384662,0.107447952,0.036865082,-0.030867992,-0.040410846,-0.110134743,-0.043296598,0.159230411,0.05429684,-0.026316984,-0.038452376,-0.042612236,0.036590841,-0.084889464,0.117105126,-0.087318383,0.013318579,0.063198254,-0.010023937,-0.05190805,-0.027335269,-0.018858438,0.044638414,-0.042864956,0.009381928,0.002986891,0.03169357,-0.100060076,0.031416304
E:\Project\Fake News Detection\images\real\1028.jpg,real,train,0.704143643,0.753453314,-0.038449943,-0.088267893,-0.303060263,0.007864116,0.10888321,-0.031228371,0.067598417,-0.10316287,-0.076868631,-0.196393073,-0.241391823,0.161319152,0.057179432,-0.025014507,-0.001880982,0.006552621,-0.117183886,-0.079712994,0.062730223,-0.078094304,-0.006635314,0.032932211,-0.059559189,-0.139194489,-0.038314428,-0.001832643,0.073996939,-0.046027664,0.057225484,0.141180351,-0.008331393,0.068560526
E:\Project\Fake News Detection\images\real\1048.png,real,train,0.747822642,0.825452149,-0.200581476,0.065508232,-0.104804195,-0.062014602,0.079550438,-0.164123043,0.016097162,-0.177098468,-0.028576974,-0.073645912,0.090670742,-0.156190768,-0.131581277,-0.127941683,0.232285261,0.096777685,-0.009709558,0.159948945,-0.163771957,-0.177260369,0.180972189,0.071207568,0.130708992,-0.076415583,-0.038862258,0.020376161,0.066489682,0.025464728,-0.013127228,0.005147124,-0.035727289,0.083084911
E:\Project\Fake News Detection\images\real\1051.png,real,train,0.658347726,0.69370079,0.267147273,0.161036372,0.043514725,0.018577337,0.059124395,-0.182712555,-0.009772731,-0.01107004,-0.061954539,0.004889814,0.166762143,-0.002427745,0.018369881,-0.107243046,0.055489462,-0.059802856,0.111984611,0.071612768,-0.016735062,0.06949129,-0.002460271,-0.022888698,-0.048645172,0.0162901,0.023791794,-0.048084162,0.025356932,-0.005813729,0.034708694,-0.018104753,-0.000475537,0.004016471
E:\Project\Fake News Detection\images\real\1059.png,real,train,0.691735208,0.789040565,0.156929225,0.158887222,-0.0124139,-0.002828246,0.033196151,-0.244578257,0.082198881,-0.028389134,0.040999409,-0.02577468,0.148261443,0.000356061,-0.066001423,0.007601517,0.063408807,-0.033831928,0.083504818,0.061280433,0.053553019,0.035467397,0.007579362,-0.111885026,-0.154709682,-0.035718754,0.102976769,0.198126242,-0.022931784,0.124284066,0.002742646,0.049709208,0.115743853,0.016376542
