image_path,file_size_bytes,width,height,aspect_ratio,megapixels,format,mode,has_exif,exif_software,error,label
E:\Project\Fake News Detection\images\real\1004.jpeg,133000,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1005.jpg,64783,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1011.jpg,128156,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1018.jpg,56352,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1021.jpg,68876,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1023.jpg,67753,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1028.jpg,50896,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1048.png,75815,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1051.png,42783,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1059.png,44886,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1060.png,47818,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1061.png,59566,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1086.jpg,49448,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1091.jpg,64106,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1099.jpg,71287,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1119.jpg,129790,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1126.jpg,77922,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1128.jpg,48773,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1129.jpg,56674,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1132.jpg,75903,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1133.jpg,26546,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1135.jpg,57364,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1136.jpg,88105,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\115.jpg,161619,800,420,1.904761905,0.336,JPEG,RGB,TRUE,Android UP1A.231005.007.E135FXXSDEZB1,,real
E:\Project\Fake News Detection\images\real\1157.jpg,145371,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1183.jpg,136106,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1193.jpg,122869,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1194.jpg,61567,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1199.jpg,79267,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1201.jpg,70071,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1203.jpg,57066,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1204.jpg,77389,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1209.jpg,65377,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
E:\Project\Fake News Detection\images\real\1214.jpg,96598,995,560,1.776785714,0.5572,JPEG,RGB,FALSE,none,,real
