source,normalized,error,label
E:\Project\Fake News Detection\images\real\1004.jpeg,images_normalized\real\1004.jpg,,real
E:\Project\Fake News Detection\images\real\1005.jpg,images_normalized\real\1005.jpg,,real
E:\Project\Fake News Detection\images\real\1011.jpg,images_normalized\real\1011.jpg,,real
E:\Project\Fake News Detection\images\real\1018.jpg,images_normalized\real\1018.jpg,,real
E:\Project\Fake News Detection\images\real\1021.jpg,images_normalized\real\1021.jpg,,real
E:\Project\Fake News Detection\images\real\1023.jpg,images_normalized\real\1023.jpg,,real
E:\Project\Fake News Detection\images\real\1028.jpg,images_normalized\real\1028.jpg,,real
E:\Project\Fake News Detection\images\real\1048.png,images_normalized\real\1048.jpg,,real
E:\Project\Fake News Detection\images\real\1051.png,images_normalized\real\1051.jpg,,real
E:\Project\Fake News Detection\images\real\1059.png,images_normalized\real\1059.jpg,,real
E:\Project\Fake News Detection\images\real\1060.png,images_normalized\real\1060.jpg,,real
E:\Project\Fake News Detection\images\real\1061.png,images_normalized\real\1061.jpg,,real
E:\Project\Fake News Detection\images\real\1086.jpg,images_normalized\real\1086.jpg,,real
E:\Project\Fake News Detection\images\real\1091.jpg,images_normalized\real\1091.jpg,,real
E:\Project\Fake News Detection\images\real\1099.jpg,images_normalized\real\1099.jpg,,real
E:\Project\Fake News Detection\images\real\1119.jpg,images_normalized\real\1119.jpg,,real
E:\Project\Fake News Detection\images\real\1126.jpg,images_normalized\real\1126.jpg,,real
E:\Project\Fake News Detection\images\real\1128.jpg,images_normalized\real\1128.jpg,,real
E:\Project\Fake News Detection\images\real\1129.jpg,images_normalized\real\1129.jpg,,real
E:\Project\Fake News Detection\images\real\1132.jpg,images_normalized\real\1132.jpg,,real
E:\Project\Fake News Detection\images\real\1133.jpg,images_normalized\real\1133.jpg,,real
E:\Project\Fake News Detection\images\real\1135.jpg,images_normalized\real\1135.jpg,,real
E:\Project\Fake News Detection\images\real\1136.jpg,images_normalized\real\1136.jpg,,real
E:\Project\Fake News Detection\images\real\115.jpg,images_normalized\real\115.jpg,,real
E:\Project\Fake News Detection\images\real\1157.jpg,images_normalized\real\1157.jpg,,real
