feature,gain_importance
tfidf__caption men,0.05900108
tfidf__alaaz,0.04639504
tfidf__men,0.04584548
clip_pca__pca1,0.04182133
tfidf__lelta,0.03541403
tabular__token_count,0.032209214
clip_pca__pca3,0.031505886
clip_pca__pca4,0.028757075
clip_pca__pca2,0.028508293
tfidf__suit,0.02750857
tabular__cisf_fused_pca_00,0.023578016
tfidf__white,0.019466061
clip_pca__pca0,0.018444654
tfidf__caption man,0.018300243
tfidf__hold,0.016921226
tfidf__tabl,0.015375868
clip_pca__pca22,0.01438495
clip_pca__pca8,0.013762133
clip_pca__pca6,0.012935865
tfidf__sit tabl,0.012768497
clip_pca__pca25,0.012137911
tfidf__build,0.011935031
tfidf__man woman,0.01165141
clip_pca__pca7,0.011368861
tfidf__stand,0.010127176
tabular__similarity_score,0.009687722
tfidf__group,0.009513289
clip_pca__pca5,0.009319698
tabular__caption_length,0.008023961
tabular__cisf_fused_pca_11,0.007807797
clip_pca__pca31,0.007777522
clip_pca__pca27,0.007304975
tfidf__man,0.007204427
tabular__cisf_fused_pca_04,0.007030143
tabular__cisf_fused_pca_18,0.00689543
tabular__cisf_fused_pca_01,0.006727655
clip_pca__pca19,0.006718955
tfidf__sit,0.006703176
clip_pca__pca9,0.006576452
clip_pca__pca55,0.006555807
clip_pca__pca13,0.006473101
tabular__cisf_fused_pca_15,0.006295524
tabular__cisf_fused_pca_06,0.006289145
tabular__cisf_fused_pca_09,0.00626601
clip_pca__pca51,0.006215083
clip_pca__pca28,0.006195944
clip_pca__pca11,0.005820671
clip_pca__pca46,0.005722314
tabular__cisf_fused_pca_19,0.00571205
tabular__cisf_neighbour_max_similarity,0.005585002
tabular__cisf_fused_pca_17,0.005578709
clip_pca__pca54,0.005530173
tfidf__caption group,0.005470986
clip_pca__pca10,0.005383225
clip_pca__pca38,0.005310735
tabular__cisf_fused_pca_24,0.005188123
clip_pca__pca20,0.005038593
clip_pca__pca12,0.004925651
clip_pca__pca52,0.004804088
clip_pca__pca61,0.004775779
tabular__cisf_fused_pca_31,0.004587085
clip_pca__pca32,0.00458698
clip_pca__pca23,0.004547463
tabular__ocr_length,0.004414688
clip_pca__pca58,0.004305809
clip_pca__pca49,0.004281679
tabular__cisf_fused_pca_12,0.004241488
tabular__cisf_fused_pca_28,0.004197445
clip_pca__pca63,0.004194452
tabular__cisf_fused_pca_16,0.00417077
clip_pca__pca47,0.004119967
clip_pca__pca21,0.004069316
clip_pca__pca15,0.003943702
clip_pca__pca33,0.003929856
tabular__cisf_fused_pca_29,0.003928958
clip_pca__pca56,0.003918253
clip_pca__pca14,0.003888626
tabular__cisf_neighbour_mean_similarity,0.003793754
tabular__cisf_fused_pca_30,0.003775163
tabular__cisf_fused_pca_14,0.003753549
clip_pca__pca57,0.003678057
clip_pca__pca59,0.003626447
clip_pca__pca41,0.003555798
clip_pca__pca36,0.003490573
clip_pca__pca30,0.003383167
tabular__cisf_fused_pca_26,0.003218843
clip_pca__pca60,0.003081723
tabular__cisf_fused_pca_08,0.003001686
clip_pca__pca62,0.002996602
clip_pca__pca35,0.002860929
clip_pca__pca29,0.002847177
clip_pca__pca50,0.002832504
clip_pca__pca40,0.00268448
tabular__cisf_fused_pca_20,0.002590717
tabular__cisf_fused_pca_21,0.002584496
tfidf__caption,0.002581528
clip_pca__pca16,0.002545628
clip_pca__pca34,0.002426909
