image_path,label
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1090.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\297.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1022.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10285.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9116.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10283.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3101.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9403.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7703.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2751.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5411.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9819.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8242.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\750.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8211.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7199.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6594.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8692.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6648.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4323.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9173.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5658.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7896.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3652.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2816.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6276.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\917.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\7007.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8334.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7135.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5469.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6235.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2206.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2152.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8674.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9894.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9037.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9257.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8688.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1630.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6211.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9909.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\386.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3390.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9106.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9019.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3017.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6422.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10211.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1889.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9341.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9904.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5480.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7826.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8044.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2052.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7589.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\900.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8165.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\324.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10287.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5002.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5498.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4351.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3440.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7591.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4525.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8818.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5646.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8677.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1734.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7071.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7258.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4848.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9534.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9332.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4136.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7893.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7950.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8992.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3943.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4007.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6634.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8687.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9908.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3008.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7836.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\957.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8572.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3992.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1948.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8101.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9319.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5776.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4966.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9105.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9936.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3139.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\909.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8264.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1904.jpg,real
